2,478,2,486
2,517,2,518
2,525,2,525
2,543,2,543
2,549,2,550
2,560,2,562
2,566,2,575
3,473,3,477
3,507,3,508
3,519,3,519
3,523,3,524
3,527,3,528
3,543,3,543
3,551,3,551
3,558,3,559
3,576,3,578
4,454,4,472
4,509,4,510
4,520,4,520
4,522,4,522
4,529,4,532
4,543,4,543
4,551,4,551
4,557,4,557
4,579,4,582
5,451,5,453
5,511,5,512
5,521,5,521
5,542,5,542
5,552,5,552
5,555,5,556
5,583,5,590
6,448,6,450
6,505,6,505
6,513,6,513
6,542,6,542
6,552,6,552
6,554,6,554
6,591,6,593
7,446,7,447
7,505,7,505
7,513,7,513
7,542,7,542
7,594,7,600
8,445,8,445
8,506,8,506
8,514,8,514
8,525,8,525
8,542,8,542
8,570,8,573
8,601,8,604
9,436,9,444
9,496,9,499
9,506,9,506
9,514,9,514
9,525,9,525
9,532,9,534
9,542,9,542
9,569,9,569
9,605,9,608
9,611,9,614
10,433,10,435
10,493,10,495
10,507,10,507
10,515,10,515
10,525,10,525
10,531,10,531
10,535,10,535
10,542,10,542
10,569,10,569
10,576,10,576
10,609,10,609
10,615,10,616
11,429,11,432
11,487,11,492
11,508,11,508
11,515,11,515
11,526,11,526
11,530,11,530
11,535,11,535
11,542,11,542
11,552,11,552
11,568,11,568
11,576,11,576
11,611,11,611
11,617,11,617
12,426,12,428
12,508,12,508
12,515,12,515
12,527,12,531
12,535,12,535
12,542,12,542
12,552,12,552
12,568,12,568
12,577,12,577
12,612,12,612
12,618,12,618
13,423,13,425
13,509,13,509
13,516,13,516
13,532,13,534
13,542,13,542
13,552,13,552
13,569,13,569
13,578,13,579
13,582,13,582
13,613,13,614
13,619,13,619
14,421,14,422
14,509,14,509
14,516,14,516
14,542,14,542
14,551,14,551
14,569,14,569
14,580,14,580
14,582,14,582
14,620,14,620
15,420,15,420
15,509,15,509
15,517,15,517
15,542,15,542
15,569,15,569
15,583,15,583
15,621,15,621
16,420,16,420
16,510,16,510
16,518,16,518
16,538,16,538
16,542,16,542
16,570,16,570
16,583,16,583
16,622,16,623
17,419,17,419
17,462,17,462
17,470,17,470
17,511,17,511
17,518,17,518
17,527,17,527
17,538,17,538
17,542,17,542
17,570,17,570
17,583,17,583
17,608,17,608
17,624,17,625
18,418,18,418
18,455,18,455
18,461,18,461
18,469,18,469
18,474,18,474
18,512,18,512
18,517,18,517
18,528,18,528
18,538,18,538
18,541,18,541
18,569,18,569
18,583,18,583
18,589,18,592
18,609,18,609
18,626,18,626
19,417,19,417
19,451,19,454
19,459,19,460
19,468,19,468
19,475,19,475
19,512,19,512
19,517,19,517
19,529,19,529
19,539,19,540
19,555,19,556
19,566,19,568
